qname,qpattern,link
Question,Sub-topic,LeetcodeLink
TwoSum,Hashmap,https://leetcode.com/problems/two-sum/
BestTimetoBuyandSellStock,Two-pointer/min-max,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
TwoSumII(sortedinput),Two-pointer,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/
ContainsDuplicate,Hashmap,https://leetcode.com/problems/contains-duplicate/
MaximumSubarray,Kadane'sAlgorithm,https://leetcode.com/problems/maximum-subarray/
3Sum,Two-pointer,https://leetcode.com/problems/3sum/
ProductofArrayExceptSelf,Logical,https://leetcode.com/problems/product-of-array-except-self/
ContainerWithMostWater,Two-pointer,https://leetcode.com/problems/container-with-most-water/
SubarraySumEqualsK,Runningsum,https://leetcode.com/problems/subarray-sum-equals-k/
LongestsubarraywithsumequalsK,Runningsum,https://practice.geeksforgeeks.org/problems/longest-sub-array-with-sum-k0809/1/
MinimumSizeSubarraySum,Runningsum+pointer,https://leetcode.com/problems/minimum-size-subarray-sum/
K-diffPairsinanArray,Hashmap,https://leetcode.com/problems/k-diff-pairs-in-an-array/
,MaximumLengthofRepeatedSubarray,https://leetcode.com/problems/maximum-length-of-repeated-subarray/
,SumofTwoIntegers,https://leetcode.com/problems/sum-of-two-integers/
,Numberof1Bits,https://leetcode.com/problems/number-of-1-bits/
,CountingBits,https://leetcode.com/problems/counting-bits/
,MissingNumber,https://leetcode.com/problems/missing-number/
,ReverseBits,https://leetcode.com/problems/reverse-bits/
,RepeatandMissingNumber,https://takeuforward.org/data-structure/find-the-repeating-and-missing-numbers/
,MergeOverlappingSubintervals,https://leetcode.com/problems/merge-intervals/
,FindtheduplicateinanarrayofN+1integers,https://leetcode.com/problems/find-the-duplicate-number/
,SetMatrixZeros,https://leetcode.com/problems/set-matrix-zeroes/
,PascalTriangle,https://leetcode.com/problems/pascals-triangle/
RotateMatrix,Transposeofmatrix,https://leetcode.com/problems/rotate-image/
,NextPermutation,https://leetcode.com/problems/next-permutation/
,Searchina2Dmatrix,https://leetcode.com/problems/search-a-2d-matrix/
InversionofArray,Merge-Sort,https://www.geeksforgeeks.org/counting-inversions/
ReversePairs,Merge-Sort,https://leetcode.com/problems/reverse-pairs/
4Sum,Sorting+2-pointer,https://leetcode.com/problems/4sum/
,MajorityElement(>N/2times),https://leetcode.com/problems/majority-element/
,MajorityElement(>N/3times),https://leetcode.com/problems/majority-element-ii/
,LongestConsecutiveSequence,https://leetcode.com/problems/longest-consecutive-sequence/
,LargestSubarraywith0sum,https://practice.geeksforgeeks.org/problems/largest-subarray-with-0-sum/
,CountnumberofsubarrayswithgivenXOR,https://bit.ly/3fp24yN
MaximumProductSubarray,Kadane'sAlgorithm,https://leetcode.com/problems/maximum-product-subarray/
,PartitiontoKEqualSumSubsets,https://leetcode.com/problems/partition-to-k-equal-sum-subsets/
,SpiralMatrix,https://leetcode.com/problems/spiral-matrix/
TrappingRainWater,Twopointer,https://leetcode.com/problems/trapping-rain-water
K’thsmallestelement,MinHeap,https://practice.geeksforgeeks.org/problems/kth-smallest-element/0
,FirstMissingPositive,https://leetcode.com/problems/first-missing-positive/
,TopKFrequentElements,https://leetcode.com/problems/top-k-frequent-elements/
,VerifyinganAlienDictionary,https://leetcode.com/problems/verifying-an-alien-dictionary/
,Mergetwosortedarrays,https://practice.geeksforgeeks.org/problems/merge-two-sorted-arrays/0/
,Equilibriumpoint,https://practice.geeksforgeeks.org/problems/equilibrium-point/0
,Elementwithleftsidesmallerandrightsidegreater,https://practice.geeksforgeeks.org/problems/unsorted-array/0
,FindPivotIndex,https://leetcode.com/problems/find-pivot-index/
,MedianofTwoSortedArrays,https://leetcode.com/problems/median-of-two-sorted-arrays/
,K-thelementoftwosortedarrays,https://practice.geeksforgeeks.org/problems/k-th-element-of-two-sorted-array1317/1
,Searchina2dMatrix,https://leetcode.com/problems/search-a-2d-matrix/
,FindMinimuminRotatedSortedArray,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array//
,Searchelementinarotatedsortedarray,https://leetcode.com/problems/search-in-rotated-sorted-array/
,LongestPalindromicSubstring,https://leetcode.com/problems/longest-palindromic-substring/
,LongestCommonPrefix,https://leetcode.com/problems/longest-common-prefix/
LongestNiceSubstring,DivideandConquer,https://leetcode.com/problems/longest-nice-substring
,ImplementstrStr(),https://leetcode.com/problems/implement-strstr/
FindAllAnagramsinaString,2-pointer+Hashmap,https://leetcode.com/problems/find-all-anagrams-in-a-string/
PermutationinString,2-pointer+Hashmap,https://leetcode.com/problems/permutation-in-string/
LongestSubstringWithoutRepeatingCharacters,2-pointer+Hashmap,https://leetcode.com/problems/longest-substring-without-repeating-characters/
MinimumWindowSubstring,2-pointer+Hashmap,https://leetcode.com/problems/minimum-window-substring/
,CountandSay,https://leetcode.com/problems/count-and-say/
,CompareVersionNumbers,https://leetcode.com/problems/compare-version-numbers/
SubstringwithConcatenationofAllWords,2-pointer+Hashmap,https://leetcode.com/problems/substring-with-concatenation-of-all-words/
,LongestSubstringwithAtLeastKRepeatingCharacters,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters/
,MaximumNumberofNon-OverlappingSubstrings,https://leetcode.com/problems/maximum-number-of-non-overlapping-substrings/
,MinimumInsertionstoBalanceaParenthesesString,https://leetcode.com/problems/minimum-insertions-to-balance-a-parentheses-string/
,MinimumNumberofSwapstoMaketheStringBalanced,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced/
,MinimumNumberofStepstoMakeTwoStringsAnagram,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram/
,BestTimetoBuyandSellStockII,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/
,Policemencatchthieves,https://www.geeksforgeeks.org/policemen-catch-thieves/
,MinimumPlatforms,https://practice.geeksforgeeks.org/problems/minimum-platforms/0
,JumpGame,https://leetcode.com/problems/jump-game/
,JumpGameII,https://leetcode.com/problems/jump-game-ii/
,GasStation,https://leetcode.com/problems/gas-station/
,Nmeetingsinoneroom,https://practice.geeksforgeeks.org/problems/n-meetings-in-one-room/0
FindallSubsets(subsequences),Backtracking,https://leetcode.com/problems/subsets/
Subsetswithduplicatenumbersininput,Backtracking,https://leetcode.com/problems/subsets-ii/
